---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |                Ritz    |    Rel. |     Aki    | Acc. |                 Ei           Ek                   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |       Line  |
             Wavelength |             Wavelength |    Int. |     s^-1   |      |                (eV)         (eV)                  |                 |            |           |         |    |   Ref. |       Ref.  |
              Vac (nm)  |              Vac (nm)  |    (?)  |            |      |                                                   |                 |            |           |         |    |        |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
     366.222            |     366.22624          |  1100bl |  2.8474e+02| AAA  |   10.198835            -    [13.58332452]         |      2 - 30     |            |           |         |    |  T8637 |   L7400c29  |
     366.341            |     366.34099          |   900bl |  3.3742e+02| AAA  |   10.198835            -    [13.58226454]         |      2 - 29     |            |           |         |    |  T8637 |   L7400c29  |
     366.465            |     366.46831          |  1000bl |  4.0224e+02| AAA  |   10.198835            -    [13.58108897]         |      2 - 28     |            |           |         |    |  T8637 |   L7400c29  |
     366.608            |     366.61016          |     900 |  4.8261e+02| AAA  |   10.198835            -    [13.57978038]         |      2 - 27     |            |           |         |    |  T8637 |   L7400c29  |
     366.773            |     366.76881          |    1000 |  5.8304e+02| AAA  |   10.198835            -    [13.57831792]         |      2 - 26     |            |           |         |    |  T8637 |   L7400c29  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
     366.945            |     366.94704          |    1300 |  7.0963e+02| AAA  |   10.198835            -    [13.57667646]         |      2 - 25     |            |           |         |    |  T8637 |   L7400c29  |
     367.132            |     367.14823          |  1200bl |  8.7069e+02| AAA  |   10.198835            -    [13.57482559]         |      2 - 24     |            |           |         |    |  T8637 |   L7400c29  |
     367.381            |     367.37648          |    1300 |  1.0777e+03| AAA  |   10.198835            -    [13.57272808]         |      2 - 23     |            |           |         |    |  T8637 |   L7400c29  |
     367.6376           |     367.63692          |    1400 |  1.3467e+03| AAA  |   10.198835            -    [13.57033808]         |      2 - 22     |            |           |         |    |  T8637 |   L7436c29  |
     367.9370           |     367.93589          |    1700 |  1.7005e+03| AAA  |   10.198835            -    [13.56759860]         |      2 - 21     |            |           |         |    |  T8637 |   L7436c29  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
     368.2823           |     368.28142          |    1700 |  2.1719e+03| AAA  |   10.198835            -    [13.56443800]         |      2 - 20     |            |           |         |    |  T8637 |   L7436c29  |
     368.6831           |     368.68375          |    2000 |  2.8093e+03| AAA  |   10.198835            -    [13.56076532]         |      2 - 19     |            |           |         |    |  T8637 |   L7436c29  |
     369.1551           |     369.15612          |    2300 |  3.6851e+03| AAA  |   10.198835            -    [13.55646368]         |      2 - 18     |            |           |         |    |  T8637 |   L7436c29  |
     369.7157           |     369.71582          |    2300 |  4.9101e+03| AAA  |   10.198835            -    [13.55138080]         |      2 - 17     |            |           |         |    |  T8637 |   L7436c29  |
     370.3859           |     370.38594          |    2800 |  6.6583e+03| AAA  |   10.198835            -    [13.54531538]         |      2 - 16     |            |           |         |    |  T8637 |   L7436c29  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
     371.1978           |     371.19774          |    3300 |  9.2102e+03| AAA  |   10.198835            -    [13.53799686]         |      2 - 15     |            |           |         |    |  T8637 |   L7436c29  |
     372.1946           |     372.19449          |    5000 |  1.3032e+04| AAA  |   10.198835            -    [13.52905466]         |      2 - 14     |            |           |         |    |  T8637 |   L7436c29  |
     373.4369           |     373.43747          |    6000 |  1.8927e+04| AAA  |   10.198835            -    [13.51797042]         |      2 - 13     |            |           |         |    |  T8637 |   L7436c29  |
                        |     375.012490456      |         |            |      |   10.1988055020        -     13.50400100748       |     2p - 12d    |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |             |
                        |     375.0125118        |         |            |      |   10.1988055020        -    [13.504000819]        |     2p - 12s    |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |        |             |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |     375.01275          |         |            |      |                                                   |                 |            |           |         |    |        |        c39  |
     375.012978907      |     375.012978907      |         |            |      |   10.1988098769057     -     13.504001077499      |     2s - 12d    |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |     L11759  |
                        |     375.0129867        |         |            |      |   10.1988098769057     -    [13.504001009]        |     2s - 12p    |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |             |
     375.012986852      |     375.012986852      |         |            |      |   10.1988098769057     -     13.50400100748       |     2s - 12d    |  2S  - 2D  | 1/2 - 3/2 |  2 - 4  | E2 |        |     L11759  |
                        |     375.0130082        |         |            |      |   10.1988098769057     -    [13.504000819]        |     2s - 12s    |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |             |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |     375.0130105        |         |            |      |   10.1988098769057     -    [13.504000799]        |     2s - 12p    |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |             |
     375.0151           |     375.01584          |    8000 |  2.8337e+04| AAA  |   10.198835            -     13.50400107          |      2 - 12     |            |           |         |    |  T8637 |   L7436c29  |
                        |     375.01515          |         |            |      |                                                   |                 |            |           |         |    |        |        c40  |
                        |     375.017629816      |         |            |      |   10.1988508663        -     13.504001077499      |     2p - 12d    |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |             |
                        |     375.01763          |         |            |      |                                                   |                 |            |           |         |    |        |        c41  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |     375.017637761      |         |            |      |   10.1988508663        -     13.50400100748       |     2p - 12d    |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |             |
                        |     375.0176591        |         |            |      |   10.1988508663        -    [13.504000819]        |     2p - 12s    |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |        |             |
                        |     377.0603010        |         |            |      |   10.1988055020        -    [13.4860509678]       |     2p - 11d    |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |             |
